Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Static Function,"i18n::phonenumbers::AsYouTypeFormatter::ConvertUnicodeStringPosition(const i18n::phonenumbers::UnicodeString &,int)",,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,3,2,0,0,0,2,2,0,4,3,1,0,2,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::CreateFormattingTemplate(const i18n::phonenumbers::NumberFormat &)",,,,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,1,12,4,6,0,0,0,6,2,0,8,8,3,0,5,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::GetAvailableFormats(const int &)",,,,0,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,0,29,3,0,10,0,0,0,1,0,8,2,2,0,0,1,1,1,1,0,,,,,0,,0,0,,0.34,,,,
Public Const Function,"i18n::phonenumbers::AsYouTypeFormatter::GetExtractedNationalPrefix()",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::GetFormattingTemplate(const int &,const int &,i18n::phonenumbers::UnicodeString *)",,,,2,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,2,18,6,3,6,0,0,1,2,0,9,5,2,0,3,2,2,2,1,1,,,,,0,,1,0,,0.33,,,,
Public Const Function,"i18n::phonenumbers::AsYouTypeFormatter::GetMetadataForRegion(const int &)",,,,0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,0,12,5,2,3,0,0,1,2,0,6,5,3,0,2,2,2,2,1,1,,,,,0,,1,0,,0.25,,,,
Public Const Function,"i18n::phonenumbers::AsYouTypeFormatter::GetRememberedPosition()",,,,1,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,1,17,4,11,0,0,0,5,4,1,7,10,3,0,7,4,4,5,1,1,,,,,0,,2,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::InputAccruedNationalNumber(int *)",,,,2,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,2,20,4,6,0,0,0,0,5,1,12,9,3,0,6,4,4,4,1,2,,,,,0,,2,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::InputDigit(i18n::phonenumbers::char32,int *)",,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,6,0,0,0,0,0,1,1,0,4,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::InputDigitAndRememberPosition(i18n::phonenumbers::char32,int *)",,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,1,8,0,0,0,0,0,1,1,0,4,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
