Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"(unnamed_function_1).rb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,11,1,13,1,1,,12,12,,12,2,12,1,,,,,1,,12,2,12,1
Function,"(unnamed_function_1).sa",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,6,2,2,,4,4,,2,2,2,1,,,,,1,,2,2,2,1
Function,"(unnamed_function_1).sb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,13,13,15,1,,,,,0,,13,13,15,1
Class Function,"(unnamed_function_1).t",0,0,0,0,0,0,0,0,0,0,,0,0,,,,8,0,0,0,0,8,8,0,0,0,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,1,1,,3,3,,1,1,1,1,0,0,0,0,0,,1,1,1,1
Function,"(unnamed_function_1).ta",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,6,2,2,,4,4,,1,1,1,1,,,,,0,,2,2,2,2
Unnamed Function,"(unnamed_function_1).ta.(unnamed_function_5)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).ua",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,2,2,,2,2,,1,1,2,1,,,,,0,,2,2,3,2
Unnamed Function,"(unnamed_function_1).ua.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).ub",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,8,1,22,3,3,,19,19,,8,8,8,8,,,,,5,,8,8,8,8
Function,"(unnamed_function_1).v",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"(unnamed_function_1).va",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,4,2,2,,2,2,,2,2,3,1,,,,,1,,2,2,3,1
Function,"(unnamed_function_1).vb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,6,2,2,,4,4,,2,2,4,1,,,,,1,,2,2,4,1
Function,"(unnamed_function_1).w",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,3,2,2,,1,1,,2,2,3,1,,,,,0,,2,2,3,1
Function,"(unnamed_function_1).wa",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,4,1,1,,3,3,,1,1,3,1,,,,,0,,1,1,3,1
Function,"(unnamed_function_1).wb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,7,1,14,2,2,,12,12,,12,12,13,5,,,,,2,,12,12,13,5
Function,"(unnamed_function_1).x",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,3,1,1,,2,2,,1,1,2,1,,,,,0,,1,1,2,1
Function,"(unnamed_function_1).xa",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,5,1,11,3,3,,8,8,,8,8,10,1,,,,,4,,8,8,10,1
Function,"(unnamed_function_1).xb",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,2,0,7,2,2,,5,5,,2,2,2,1,,,,,1,,2,2,2,1
Function,"(unnamed_function_1).y",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,0,,1,1,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
