Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.inputDigitWithOptionToRememberPosition(char,boolean)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,75,,,,1,,,,61,,,3,47,15,,,,24,68,2,23,38,3,,,35,,,19,16,19,13,22,,,,,21,,3,21,,,0.25,19,16,19,13
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.isDigitOrLeadingPlusSign(char)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,0,,,,5,,,1,3,0,,,,6,1,0,1,2,1,,,1,,,1,1,3,1,0,,,,,0,,0,0,,,0.00,1,1,3,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.isNanpaNumberWithNationalPrefix()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,,0,,,,4,,,1,2,8,,,,3,1,0,1,2,1,,,1,,,1,1,4,1,0,,,,,0,,0,0,,,2.00,1,1,4,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.maybeCreateNewTemplate()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,,,,0,,,,22,,,4,17,5,,,,15,4,1,11,15,4,,,11,,,4,4,4,4,6,,,,,6,,2,6,,,0.23,4,4,4,4
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.narrowDownPossibleFormats(String)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,,,,0,,,,18,,,9,12,1,,,,11,5,1,8,12,7,,,5,,,4,4,4,3,1,,,,,1,,2,1,,,0.06,4,4,4,3
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.normalizeAndAccrueDigitsAndPlusSign(char,boolean)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,,,,0,,,,16,,,3,11,0,,,,6,4,1,9,12,3,,,9,,,3,3,3,1,1,,,,,0,,1,0,,,0.00,3,3,3,1
Private Method,"com.google.i18n.phonenumbers.AsYouTypeFormatter.removeNationalPrefixFromNationalNumber()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25,,,,0,,,,20,,,6,15,5,,,,12,4,1,12,16,5,,,11,,,4,4,5,1,1,,,,,0,,2,0,,,0.25,4,4,5,1
Public Class,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest",1,1,1,1,33,1,29,2,1,3,3,0,,0,0,,,,33,0,,,,33,36,0,0,0,33,,1155,,,,86,,,,988,,,67,920,81,,,,,,,920,954,67,,,887,,,,,,,,1,1,1,1,,3,0,,0,0,0.08,33,33,33,33
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFAR()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,0,,,,14,,,2,12,0,,,,3,1,0,12,13,2,,,11,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFARMobile()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,,,,0,,,,17,,,2,15,0,,,,3,1,0,15,16,2,,,14,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFAndRememberPositionUS()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,135,,,,6,,,,125,,,2,123,4,,,,6,1,0,123,124,2,,,122,,,1,1,1,1,0,,,,,0,,0,0,,,0.03,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFClearNDDAfterIDDExtraction()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,,,,3,,,,27,,,2,25,4,,,,4,1,0,25,26,2,,,24,,,1,1,1,1,0,,,,,0,,0,0,,,0.15,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFDE()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,,,3,,,,44,,,2,42,3,,,,4,1,0,42,43,2,,,41,,,1,1,1,1,0,,,,,0,,0,0,,,0.07,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFGBFixedLine()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,,,0,,,,16,,,2,14,0,,,,5,1,0,14,15,2,,,13,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFGBPremiumRate()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,0,,,,14,,,2,12,0,,,,3,1,0,12,13,2,,,11,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFGBTollFree()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,0,,,,14,,,2,12,0,,,,3,1,0,12,13,2,,,11,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFKR()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,89,,,,6,,,,76,,,2,74,7,,,,4,1,0,74,75,2,,,73,,,1,1,1,1,0,,,,,0,,0,0,,,0.09,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFLongIDD_AU()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,,,2,,,,51,,,2,49,3,,,,4,1,0,49,50,2,,,48,,,1,1,1,1,0,,,,,0,,0,0,,,0.06,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFLongIDD_KR()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,0,,,,19,,,2,17,1,,,,3,1,0,17,18,2,,,16,,,1,1,1,1,0,,,,,0,,0,0,,,0.05,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFLongNDD_KR()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,,,,1,,,,32,,,2,30,2,,,,4,1,0,30,31,2,,,29,,,1,1,1,1,0,,,,,0,,0,0,,,0.06,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFLongNDD_SG()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,,,,0,,,,17,,,2,15,1,,,,3,1,0,15,16,2,,,14,,,1,1,1,1,0,,,,,0,,0,0,,,0.06,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFMultipleLeadingDigitPatterns()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,,,3,,,,49,,,2,47,4,,,,4,1,0,47,48,2,,,46,,,1,1,1,1,0,,,,,0,,0,0,,,0.08,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFNZMobile()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,,0,,,,12,,,2,10,1,,,,3,1,0,10,11,2,,,9,,,1,1,1,1,0,,,,,0,,0,0,,,0.08,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFNoNationalPrefix()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,1,,,,9,,,2,7,0,,,,3,1,0,7,8,2,,,6,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFNoNationalPrefixFormattingRule()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,1,,,,9,,,2,7,0,,,,3,1,0,7,8,2,,,6,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFNumberPatternsBecomingInvalidShouldNotResultInDigitLoss()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,1,,,,14,,,2,12,5,,,,3,1,0,12,13,2,,,11,,,1,1,1,1,0,,,,,0,,0,0,,,0.36,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFShortNumberFormattingFix_AU()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,73,,,,5,,,,61,,,2,59,7,,,,4,1,0,59,60,2,,,58,,,1,1,1,1,0,,,,,0,,0,0,,,0.11,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFShortNumberFormattingFix_KR()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,42,,,,4,,,,31,,,2,29,7,,,,4,1,0,29,30,2,,,28,,,1,1,1,1,0,,,,,0,,0,0,,,0.23,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFShortNumberFormattingFix_MX()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,39,,,,3,,,,31,,,2,29,5,,,,4,1,0,29,30,2,,,28,,,1,1,1,1,0,,,,,0,,0,0,,,0.16,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFShortNumberFormattingFix_US()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,,,,3,,,,14,,,2,12,4,,,,4,1,0,12,13,2,,,11,,,1,1,1,1,0,,,,,0,,0,0,,,0.29,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFUS()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,93,,,,5,,,,87,,,2,85,1,,,,4,1,0,85,86,2,,,84,,,1,1,1,1,0,,,,,0,,0,0,,,0.01,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFUSFullWidthCharacters()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,,0,,,,13,,,2,11,0,,,,3,1,0,11,12,2,,,10,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFUSMobileShortCode()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,0,,,,8,,,2,6,0,,,,3,1,0,6,7,2,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTFUSVanityNumber()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,0,,,,15,,,2,13,0,,,,3,1,0,13,14,2,,,12,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTF_International_Toll_Free()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,,,,0,,,,16,,,2,14,1,,,,3,1,0,14,15,2,,,13,,,1,1,1,1,0,,,,,0,,0,0,,,0.06,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testAYTF_MX()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,84,,,,5,,,,74,,,2,72,5,,,,4,1,0,72,73,2,,,71,,,1,1,1,1,0,,,,,0,,0,0,,,0.07,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testCountryWithSpaceInNationalPrefixFormattingRule()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,0,,,,11,,,2,9,3,,,,3,1,0,9,10,2,,,8,,,1,1,1,1,0,,,,,0,,0,0,,,0.27,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testCountryWithSpaceInNationalPrefixFormattingRuleAndLongNdd()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,,0,,,,13,,,2,11,0,,,,3,1,0,11,12,2,,,10,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testInvalidPlusSign()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,,,0,,,,14,,,2,12,2,,,,3,1,0,12,13,2,,,11,,,1,1,1,1,0,,,,,0,,0,0,,,0.14,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testInvalidRegion()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,,,,1,,,,20,,,2,18,0,,,,4,1,0,18,19,2,,,17,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.i18n.phonenumbers.AsYouTypeFormatterTest.testTooLongNumberMatchingMultipleLeadingDigits()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,,,,0,,,,19,,,2,17,3,,,,3,1,0,17,18,2,,,16,,,1,1,1,1,0,,,,,0,,0,0,,,0.16,1,1,1,1
Public Class,"com.google.i18n.phonenumbers.CountryCodeToRegionCodeMap",1,1,1,1,909,217,690,2,1,0,0,0,,1,0,,,,0,0,,,,1,1,1,0,0,0,,915,,,,217,,,,692,,,5,686,6,,,,,,,687,689,4,,,685,,,,,,,,1,1,1,1,,1,0,,0,0,0.01,1,1,1,1
Static Method,"com.google.i18n.phonenumbers.CountryCodeToRegionCodeMap.getCountryCodeToRegionCodeMap()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,909,,,,217,,,,690,,,4,686,2,,,,3,1,0,687,688,3,,,685,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Class,"com.google.i18n.phonenumbers.CountryCodeToRegionCodeMapForTesting",1,1,1,1,129,30,97,2,1,0,0,0,,1,0,,,,0,0,,,,1,1,1,0,0,0,,135,,,,30,,,,99,,,5,93,6,,,,,,,94,96,4,,,92,,,,,,,,1,1,1,1,,1,0,,0,0,0.06,1,1,1,1
Static Method,"com.google.i18n.phonenumbers.CountryCodeToRegionCodeMapForTesting.getCountryCodeToRegionCodeMap()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,129,,,,30,,,,97,,,4,93,2,,,,3,1,0,94,95,3,,,92,,,1,1,1,1,0,,,,,0,,0,0,,,0.02,1,1,1,1
Public Class,"com.google.i18n.phonenumbers.ExampleNumbersTest",2,2,2,1,12,0,11,0,1,9,9,0,,0,1,,,,19,4,,,,19,19,0,1,0,18,,263,,,,20,,,,231,,,70,153,12,,,,,,,107,170,71,,,99,,,,,,,,7,7,7,3,,2,5,,50,38,0.05,50,50,54,21
Private Method,"com.google.i18n.phonenumbers.ExampleNumbersTest.checkNumbersValidAndCorrectType(PhoneNumberType,Set<PhoneNumberType>)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31,,,,0,,,,25,,,5,16,6,,,,9,6,1,8,16,5,,,11,,,6,6,6,1,1,,,,,0,,5,0,,,0.24,6,6,6,1
Public Method,"com.google.i18n.phonenumbers.ExampleNumbersTest.testCanBeInternationallyDialled()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,,,,0,,,,20,,,4,13,0,,,,13,7,1,7,13,4,,,9,,,5,5,6,1,1,,,,,0,,3,0,,,0.00,5,5,6,1
